registration,raw_name,clean_name,category
231661200,“AASHALATA” VICTORIA WILKINSON MEMORIAL CHARITABLE TRUST (REGD),aashalata victoria wilkinson memorial red,1
231661198,AADHAR,canada,0
231660628,Aagaz Foundation,Blank,0
231661026,AAM FOUNDATION,aam,0
231661033,Aarohan,aaron,0
231661063,AASTHA  FOUNDATION,alaska,0
231660407,ABHAS- Action Beyond Help and Support,abbas action beyond help support,0
231661593,ABHINAV SAMAJ,abhinav samaj,0
231660767,Abhivyakti Foundation,abhivyakti,0
231661853,Absolute Return for Kids,absolute return kid,0
231661203,ACCESS Development Services,access service,0
231661641,Acharya Sushil Gau Sadan,acharya sushi gau sadan,0
231661299,Action Aid Association,action aid,0
231650125,Action for Ability Development and Inclusion,action ability inclusion,0
231650903,Action For Autism,action autism,0
231650089,Action For Food Production,action food production,0
231661720,ACTION FOR INDIA SCALING SOCIAL INNOVATION,action scale innovation,0
231660546,Action for Resource Development in Health-Education by Youth Association,action resource health youth,0
231650276,Action India,action,0
231660938,ADHARSHILA,adharshila,0
231660849,Adhyatmic Vikas Shiksha Sanstha,adhyatmic vikas shiksha spanish,0
231650822,Adhyatmik Sadhana Sangh,adhyatmik saharan sangh,0
231650923,Advanced Leadership Training Centre,advanced leadership training,0
231650915,Adventist Development & Relief Agency India,adventist relief agency,0
231661587,ADVIT FOUNDATION,admit,0
231661204,AFRICAN STUDIES ASSOCIATION OF INDIA,african study,0
231661327,AFS INTERCULTURAL PROGRAMS INDIA,afs intercultural program,0
231660622,Aga Khan Agency for Habitat India,aga khan agency habitat,0
231650072,Aga Khan Foundation,aga khan,0
231660163,Agewell Foundation,farewell,0
231650746,AGNEL CHARITIES (AGNEL SEVA SANGH) DELHI,agnel charity agnel sea sangh delhi,0
231660748,Agragami India,agragami,0
231660594,AHIMSA,ahimsa,0
231660503,Ahimsa Foundation,ahimsa,0
231661635,AHVAAN TRUST,afghan,0
231660629,Aident Social Welfare Organisation,ardent organisation,0
231660900,AKANKSHA WELFARE  FOUNDATION,arkansas,0
231650554,Akshya Pratishthan,akshya pratishthan,0
231661867,AL IMDAAD CHARITABLE TRUST,al image,0
231661131,AL MAARIF EDUCATIONAL AND CULTURAL SOCIETY,al maarif cultural,0
231661717,AL- JAMAL EDUCATIONAL SOCIETY,al jamal,0
231660031,Alamb,lamb,0
231650030,Alaripu,malaria,0
231661727,ALL CREATURES GREAT AND SMALL,creature great small,0
231660842,All India Artisans and Craftworkers Welfare Association,artisan craftworkers,0
231650069,All India Association For Christian Higher Education,christian high,1
231660979,All India Association For Women And Child Development,woman child,0
231650008,All India Confederation Of Blind,confederation blind,0
231661056,All India Education and Medical Relief Society of St.Ann,medical relief st ann,1
231660991,All India Masihi Jamat,masihi jamal,0
231660209,All India Movement For Seva,movement sea,0
231660576,All India Praise Ministries Trust,praise ministry,1
231660011,All India Primary Teacher's Federation,primary teacher federation,0
231650394,All India Womens Conference,woman conference,0
231650763,All India Womens Education Fund Association,woman fund,0
231661451,ALLIANCE FOR AN ENERGY EFFICIENT ECONOMY,alliance energy efficient economy,0
231660325,Alliance Francaise de Delhi,alliance franchise de delhi,0
